file,organization,doctype_code,matched
Sở Nông nghiệp và Môi trường_21a_TP_HTPLDN_Kết quả triển khai công tác hỗ t(...).xlsx,Sở Nông nghiệp và Môi trường,21a,True
Sở Nội vụ_21a_TP_HTPLDN_Kết quả triển khai công tác hỗ trợ pháp lý cho doan(...).xlsx,Sở Nội vụ,21a,True
Sở Tư pháp Thành phố Cần Thơ_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQP(...).xlsx,Sở Tư pháp Thành phố Cần Thơ,01c,True
Sở Tư pháp Thành phố Huế_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPPL b(...).xlsx,Sở Tư pháp Thành phố Huế,01c,True
Sở Tư pháp Thành phố Huế_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ sở(...) copy.xlsx,Sở Tư pháp Thành phố Huế,05c,True
Sở Tư pháp Thành phố Huế_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ sở(...).xlsx,Sở Tư pháp Thành phố Huế,05c,True
Sở Tư pháp Thành phố Huế_08b_TP_CNTN_Kết quả đăng ký nuôi con nuôi trong nư(...).xlsx,Sở Tư pháp Thành phố Huế,08b,True
Sở Tư pháp Thành phố Huế_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thà(...) copy.xlsx,Sở Tư pháp Thành phố Huế,09b,True
Sở Tư pháp Thành phố Huế_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thà(...).xlsx,Sở Tư pháp Thành phố Huế,09b,True
Sở Tư pháp Thành phố Huế_11b_TP_LSTN_Số tổ chức và kết quả hoạt động của cá(...).xlsx,Sở Tư pháp Thành phố Huế,11b,True
Sở Tư pháp Thành phố Hà Nội_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPP(...) copy 2.xlsx,Sở Tư pháp Thành phố Hà Nội,01c,True
Sở Tư pháp Thành phố Hà Nội_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPP(...) copy.xlsx,Sở Tư pháp Thành phố Hà Nội,01c,True
Sở Tư pháp Thành phố Hà Nội_01c_TP_BH-TĐG_Số VBQPPL được ban hành; số VBQPP(...).xlsx,Sở Tư pháp Thành phố Hà Nội,01c,True
Sở Tư pháp Thành phố Hà Nội_04c_TP_PBGDPL_Kết quả công tác phổ biến giáo dụ(...).xlsx,Sở Tư pháp Thành phố Hà Nội,04c,True
Sở Tư pháp Thành phố Hà Nội_05c_TP_HGCS-TCPL_Kết quả công tác hòa giải ở cơ(...) (2).xlsx,Sở Tư pháp Thành phố Hà Nội,05c,True
